Time,Humidity,Temperature
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
2019-03-11-19:19:25,48.00,32.00
